datetime,conditions,quarter
2007-04-05,Partially cloudy,2
2007-04-06,Partially cloudy,2
2007-04-07,Overcast,2
2007-04-08,Overcast,2
2007-04-09,Partially cloudy,2
2007-04-10,Clear,2
2007-04-11,Partially cloudy,2
2007-04-12,Clear,2
2007-04-13,Clear,2
2007-04-14,Partially cloudy,2
2007-04-15,"Rain, Partially cloudy",2
2007-04-16,Partially cloudy,2
2007-04-17,Partially cloudy,2
2007-04-18,Partially cloudy,2
2007-04-19,Clear,2
2007-04-20,"Rain, Partially cloudy",2
2007-04-21,Rain,2
2007-04-22,"Rain, Partially cloudy",2
2007-04-23,"Rain, Partially cloudy",2
2007-04-24,Clear,2
2007-04-25,Clear,2
2007-04-26,Partially cloudy,2
2007-04-27,Clear,2
2007-04-28,Partially cloudy,2
2007-04-29,Partially cloudy,2
2007-04-30,Partially cloudy,2
2007-05-01,Partially cloudy,2
2007-05-02,Partially cloudy,2
2007-05-03,Clear,2
2007-05-04,Partially cloudy,2
2007-05-05,Clear,2
2007-05-06,Clear,2
2007-05-07,Clear,2
2007-05-08,Clear,2
2007-05-09,Clear,2
2007-05-10,Partially cloudy,2
2007-05-11,Clear,2
2007-05-12,Partially cloudy,2
2007-05-13,Clear,2
2007-05-14,Partially cloudy,2
2007-05-15,Partially cloudy,2
2007-05-16,Partially cloudy,2
2007-05-17,Partially cloudy,2
2007-05-18,Partially cloudy,2
2007-05-19,Partially cloudy,2
2007-05-20,Partially cloudy,2
2007-05-21,Overcast,2
2007-05-22,Partially cloudy,2
2007-05-23,Partially cloudy,2
2007-05-24,Partially cloudy,2
2007-05-25,Partially cloudy,2
2007-05-26,Partially cloudy,2
2007-05-27,Partially cloudy,2
2007-05-28,Partially cloudy,2
2007-05-29,Partially cloudy,2
2007-05-30,Partially cloudy,2
2007-05-31,Partially cloudy,2
2007-06-01,Partially cloudy,2
2007-06-02,Partially cloudy,2
2007-06-03,Overcast,2
2007-06-04,Partially cloudy,2
2007-06-05,Partially cloudy,2
2007-06-06,Clear,2
2007-06-07,Clear,2
2007-06-08,Clear,2
2007-06-09,Partially cloudy,2
2007-06-10,Partially cloudy,2
2007-06-11,Partially cloudy,2
2007-06-12,Partially cloudy,2
2007-06-13,Partially cloudy,2
2007-06-14,Partially cloudy,2
2007-06-15,Partially cloudy,2
2007-06-16,Partially cloudy,2
2007-06-17,Partially cloudy,2
2007-06-18,Partially cloudy,2
2007-06-19,Partially cloudy,2
2007-06-20,Partially cloudy,2
2007-06-21,Clear,2
2007-06-22,Clear,2
2007-06-23,Partially cloudy,2
2007-06-24,Partially cloudy,2
2007-06-25,Partially cloudy,2
2007-06-26,Clear,2
2007-06-27,Clear,2
2007-06-28,Clear,2
2007-06-29,Clear,2
2007-06-30,Clear,2
2008-04-01,Partially cloudy,2
2008-04-02,"Rain, Partially cloudy",2
2008-04-03,Partially cloudy,2
2008-04-04,Partially cloudy,2
2008-04-05,Partially cloudy,2
2008-04-06,Partially cloudy,2
2008-04-07,Partially cloudy,2
2008-04-08,Partially cloudy,2
2008-04-09,Clear,2
2008-04-10,Clear,2
2008-04-11,Clear,2
2008-04-12,Clear,2
2008-04-13,Clear,2
2008-04-14,Clear,2
2008-04-15,Partially cloudy,2
2008-04-16,Clear,2
2008-04-17,Clear,2
2008-04-18,Clear,2
2008-04-19,Partially cloudy,2
2008-04-20,Clear,2
2008-04-21,Clear,2
2008-04-22,Clear,2
2008-04-23,Clear,2
2008-04-24,Clear,2
2008-04-25,Clear,2
2008-04-26,Clear,2
2008-04-27,Clear,2
2008-04-28,Clear,2
2008-04-29,Clear,2
2008-04-30,Partially cloudy,2
2008-05-01,Clear,2
2008-05-02,Clear,2
2008-05-03,Clear,2
2008-05-04,Partially cloudy,2
2008-05-05,Partially cloudy,2
2008-05-06,Partially cloudy,2
2008-05-07,"Rain, Overcast",2
2008-05-08,Partially cloudy,2
2008-05-09,Partially cloudy,2
2008-05-10,Partially cloudy,2
2008-05-11,Partially cloudy,2
2008-05-12,Overcast,2
2008-05-13,Clear,2
2008-05-14,Clear,2
2008-05-15,Clear,2
2008-05-16,Clear,2
2008-05-17,Clear,2
2008-05-18,Clear,2
2008-05-19,Clear,2
2008-05-20,Partially cloudy,2
2008-05-21,Partially cloudy,2
2008-05-22,"Rain, Partially cloudy",2
2008-05-23,"Rain, Overcast",2
2008-05-24,"Rain, Partially cloudy",2
2008-05-25,Partially cloudy,2
2008-05-26,Partially cloudy,2
2008-05-27,Clear,2
2008-05-28,Clear,2
2008-05-29,Clear,2
2008-05-30,Clear,2
2008-05-31,Partially cloudy,2
2008-06-01,Clear,2
