datetime,conditions,quarter
2008-12-24,"Rain, Partially cloudy",4
2008-12-25,"Rain, Partially cloudy",4
2008-12-26,Rain,4
2008-12-27,Clear,4
2008-12-28,Clear,4
2008-12-29,Clear,4
2008-12-30,Clear,4
2008-12-31,"Rain, Partially cloudy",4
2009-10-01,Clear,4
2009-10-02,Clear,4
2009-10-03,Clear,4
2009-10-04,Partially cloudy,4
2009-10-05,Clear,4
2009-10-06,Clear,4
2009-10-07,Partially cloudy,4
2009-10-08,Clear,4
2009-10-09,Partially cloudy,4
2009-10-10,Partially cloudy,4
2009-10-11,Partially cloudy,4
2009-10-12,Overcast,4
2009-10-13,"Rain, Overcast",4
2009-10-14,"Rain, Overcast",4
2009-10-15,"Rain, Partially cloudy",4
2009-10-16,Rain,4
2009-10-17,Rain,4
2009-10-18,Partially cloudy,4
2009-10-19,Partially cloudy,4
2009-10-20,Clear,4
2009-10-21,Clear,4
2009-10-22,Clear,4
2009-10-23,Clear,4
2009-10-24,Clear,4
2009-10-25,Partially cloudy,4
2009-10-26,Clear,4
2009-10-27,Partially cloudy,4
2009-10-28,Clear,4
2009-10-29,Clear,4
2009-10-30,Clear,4
2009-10-31,Clear,4
2009-11-01,Clear,4
2009-11-02,Clear,4
2009-11-03,Partially cloudy,4
2009-11-04,Partially cloudy,4
2009-11-05,Partially cloudy,4
2009-11-06,Clear,4
2009-11-07,Partially cloudy,4
2009-11-08,Partially cloudy,4
2009-11-09,Clear,4
2009-11-10,Rain,4
2009-11-11,Clear,4
2009-11-12,Partially cloudy,4
2009-11-13,Clear,4
